x,y
-5.0,-8.281422410521516
-4.937106918238993,-9.426885193947227
-4.8742138364779874,-8.95157501252078
-4.811320754716981,-6.756696389673804
-4.748427672955975,-9.261375228103486
-4.685534591194968,-9.287503868162549
-4.622641509433962,-8.333509615680502
-4.559748427672956,-8.93921590370612
-4.49685534591195,-7.138534542969771
-4.433962264150943,-7.653063406921215
-4.371069182389937,-7.782196980884283
-4.3081761006289305,-5.236369343593461
-4.245283018867925,-7.663747765763437
-4.182389937106918,-6.3618690589249836
-4.119496855345912,-7.081575039353904
-4.056603773584905,-8.398786190544529
-3.9937106918238996,-7.448211881157439
-3.930817610062893,-6.894112863204515
-3.867924528301887,-6.917569669429566
-3.8050314465408803,-5.140838421070638
-3.7421383647798745,-6.74749878577296
-3.6792452830188678,-6.796092826148092
-3.616352201257862,-6.017129356571214
-3.5534591194968552,-5.549698480624575
-3.490566037735849,-5.6271052028466135
-3.4276729559748427,-6.615199116478886
-3.3647798742138364,-6.515014403298544
-3.30188679245283,-5.8167661276398706
-3.238993710691824,-4.132279418249537
-3.1761006289308176,-6.068449460261991
-3.1132075471698113,-4.000307759110228
-3.050314465408805,-5.642923384714971
-2.9874213836477987,-5.265589073276511
-2.9245283018867925,-5.445046202155411
-2.861635220125786,-4.357382323542109
-2.79874213836478,-4.201096163040887
-2.7358490566037736,-4.461168107799501
-2.6729559748427674,-5.1014595001084455
-2.610062893081761,-5.077425238104429
-2.547169811320755,-3.5950412693328047
-2.4842767295597485,-5.592043970874639
-2.4213836477987423,-3.258319076059906
-2.358490566037736,-3.4749919359568837
-2.2955974842767297,-5.14201304383778
-2.2327044025157234,-3.1954777174897
-2.169811320754717,-6.5779979095008
-2.106918238993711,-3.195319707576304
-2.0440251572327046,-1.9770248207029637
-1.981132075471698,-3.5719794979118586
-1.9182389937106916,-2.0253942259601603
